run_id,year,trades,wins,losses,win_rate_pct,profit_factor,net_profit,return_pct,max_drawdown_pct,score
23,2024,167,61,106,36.52694610778443,1.0710079268724084,66.3416461662771,6.634164616627711,10.12984969073585,1.6074024442862933
23,2025,140,62,78,44.285714285714285,1.2636111649260728,192.26038163149462,19.22603816314946,11.448924100505026,1.566517794419451
23,2026,74,29,45,39.189189189189186,1.0144900474189638,7.462114937503783,0.7462114937503783,9.41230888240037,0.6800623018252638
24,2022,178,68,110,38.20224719101123,1.004843467855767,4.563564400036498,0.4563564400036498,15.949434891637374,1.5033463714732878
24,2023,97,34,63,35.051546391752574,1.0295858657682961,15.060242487598998,1.5060242487598998,11.431360713546118,0.8845334858487364
24,2024,166,65,101,39.1566265060241,1.106859917746979,96.52460177049464,9.652460177049464,10.789765657049957,1.6391376619406381
24,2025,149,65,84,43.624161073825505,1.2972436487948686,226.0926135556639,22.60926135556639,10.02457766344552,1.7391286730885958
24,2026,77,32,45,41.55844155844156,1.126336837642549,67.41447403609675,6.741447403609675,12.122150062982948,0.7621464588960243
25,2022,179,68,111,37.988826815642454,1.0206614440551658,19.36497548696805,1.9364975486968048,15.016685303841786,1.5526315493009202
25,2023,99,35,64,35.35353535353536,1.030336556442749,16.154568460712568,1.6154568460712566,13.32865475779311,0.8840764884512491
25,2024,171,66,105,38.59649122807017,1.1137126327213267,106.71508113027161,10.671508113027162,9.800961192294519,1.7177943335488135
25,2025,149,65,84,43.624161073825505,1.2856971317305483,224.44645460625713,22.444645460625715,11.649232240467319,1.6925256975498821
25,2026,77,32,45,41.55844155844156,1.0689568608543136,36.45371861574954,3.645371861574954,8.503368519540695,0.7531058301389373
26,2022,178,67,111,37.640449438202246,0.9969965085572108,-2.7856986129227437,-0.2785698612922744,16.863362159561493,1.4753874903498243
26,2023,98,34,64,34.69387755102041,1.0237618291757453,12.27597474196877,1.2275974741968771,12.70018052511447,0.8758673841487473
26,2024,171,66,105,38.59649122807017,1.1133551187531783,103.92258047867386,10.392258047867386,9.583906601738414,1.7213752688848019
26,2025,148,64,84,43.24324324324324,1.2740220807406315,209.8483735399654,20.98483735399654,11.40164088769474,1.6705687342316795
26,2026,81,34,47,41.9753086419753,1.1366088101875798,74.77227209420755,7.477227209420755,8.197684066371002,0.8451809007948695
27,2022,179,68,111,37.988826815642454,1.0206614440551658,19.36497548696805,1.9364975486968048,15.016685303841786,1.5526315493009202
27,2023,99,35,64,35.35353535353536,1.030336556442749,16.154568460712568,1.6154568460712566,13.32865475779311,0.8840764884512491
27,2024,171,66,105,38.59649122807017,1.1137126327213267,106.71508113027161,10.671508113027162,9.800961192294519,1.7177943335488135
27,2025,149,65,84,43.624161073825505,1.2856971317305483,224.44645460625713,22.444645460625715,11.649232240467319,1.6925256975498821
27,2026,77,32,45,41.55844155844156,1.0689568608543136,36.45371861574954,3.645371861574954,8.503368519540695,0.7531058301389373
28,2022,182,61,121,33.51648351648351,0.828837632025273,-158.39335909295517,-15.839335909295515,22.991745048596826,1.1616575821818154
28,2023,101,33,68,32.67326732673268,0.8448709490108735,-71.0708084490879,-7.107080844908791,12.112373457802738,0.7499623946744963
28,2024,183,55,128,30.05464480874317,0.697383620068442,-201.2963514148053,-20.129635141480527,21.561805718044667,1.0010376674036665
28,2025,147,55,92,37.41496598639456,0.9212091968991977,-29.458924726443414,-2.945892472644341,8.065769689724814,1.244952679533615
28,2026,79,29,50,36.708860759493675,0.8831591637766827,-24.141479571891864,-2.4141479571891864,5.8572143602654405,0.6568302043454441
29,2022,201,67,134,33.33333333333333,1.065106944745972,61.82222327605126,6.1822223276051265,17.45350644730813,1.7672089553027541
29,2023,110,33,77,30.0,0.9618071965387796,-20.688198567208097,-2.06881985672081,13.62874816917251,0.9137974074344843
29,2024,194,65,129,33.50515463917525,1.0742441888113392,69.8293117789933,6.982931177899331,11.545860376188632,1.8434141020634118
29,2025,167,66,101,39.52095808383233,1.254161258689279,196.69188373155436,19.669188373155436,9.44416406113245,1.8966460737519242
29,2026,90,32,58,35.55555555555556,1.1264347161328156,69.09591159276283,6.9095911592762835,7.325649099001648,0.9395244553496311
30,2022,179,68,111,37.988826815642454,1.0206614440551658,19.36497548696805,1.9364975486968048,15.016685303841786,1.5526315493009202
30,2023,99,35,64,35.35353535353536,1.030336556442749,16.154568460712568,1.6154568460712566,13.32865475779311,0.8840764884512491
30,2024,171,66,105,38.59649122807017,1.1137126327213267,106.71508113027161,10.671508113027162,9.800961192294519,1.7177943335488135
30,2025,149,65,84,43.624161073825505,1.2856971317305483,224.44645460625713,22.444645460625715,11.649232240467319,1.6925256975498821
30,2026,77,32,45,41.55844155844156,1.0689568608543136,36.45371861574954,3.645371861574954,8.503368519540695,0.7531058301389373
31,2022,158,69,89,43.67088607594937,1.0458187988487477,43.22934364877733,4.322934364877733,14.580238942268151,1.411470752136038
31,2023,95,37,58,38.94736842105263,0.9969653359755596,-1.7642240299352991,-0.17642240299352993,14.67161163653705,0.8081597310438121
31,2024,159,68,91,42.76729559748428,1.0423470782319018,40.34854936349585,4.034854936349585,11.81834254534916,1.4614626987238772
31,2025,141,65,76,46.09929078014184,1.1974875498508686,153.49112956576548,15.349112956576546,11.475979756890279,1.494690410664569
31,2026,71,32,39,45.07042253521127,1.1227983113166489,61.56835506458384,6.156835506458385,9.083175837537489,0.7247769221431878
