open_time,open,high,low,close,volume
1675122300000,22789.30,22837.00,22761.00,22819.90,4314.957
1675123200000,22819.90,22852.00,22766.50,22777.30,5783.034
1675124100000,22777.30,22822.60,22773.50,22776.90,2584.315
1675125000000,22776.90,22777.00,22715.30,22760.70,4839.630
1675125900000,22760.60,22873.90,22760.50,22825.10,7105.736
1675126800000,22825.00,22835.60,22801.80,22817.90,2108.067
1675127700000,22817.90,22822.60,22776.90,22788.00,2071.852
1675128600000,22788.00,22855.20,22752.10,22851.90,3162.022
1675129500000,22851.90,22862.70,22820.20,22828.30,2712.481
1675130400000,22828.30,22887.90,22812.90,22887.30,3464.504
1675131300000,22887.30,22887.30,22857.90,22878.00,2026.780
1675132200000,22878.00,22913.60,22870.00,22872.80,2894.938
1675133100000,22872.80,22882.00,22848.00,22851.00,1576.519
1675134000000,22851.00,22862.30,22841.20,22851.00,1558.703
1675134900000,22851.10,22851.10,22828.20,22838.70,1493.315
1675135800000,22838.70,22847.00,22807.60,22838.60,1524.216
1675136700000,22838.60,22843.50,22823.30,22826.70,1011.774
1675137600000,22826.60,22838.90,22790.60,22792.40,2118.159
1675138500000,22792.50,22834.90,22792.40,22834.90,1196.087
1675139400000,22834.80,22857.70,22829.90,22834.70,1828.753
1675140300000,22834.70,22859.10,22828.00,22856.90,1418.252
1675141200000,22856.90,22865.20,22832.60,22860.50,1317.976
1675142100000,22860.40,22862.80,22842.70,22849.80,1266.486
1675143000000,22849.70,22852.10,22824.00,22824.10,1322.661
1675143900000,22824.00,22833.50,22745.40,22748.10,4302.590
1675144800000,22748.20,22774.90,22735.50,22758.70,3513.046
1675145700000,22758.80,22797.80,22754.60,22779.80,2214.307
1675146600000,22779.80,22850.30,22760.00,22836.60,3880.691
1675147500000,22836.60,22862.40,22803.30,22805.90,2801.187
1675148400000,22805.90,22875.00,22803.40,22850.10,2770.608
1675149300000,22850.00,22860.00,22832.80,22856.50,1163.846
1675150200000,22856.60,22905.00,22856.40,22901.20,3145.225
1675151100000,22901.20,22980.00,22900.30,22967.70,9172.115
1675152000000,22967.70,22986.80,22917.20,22920.80,5264.349
1675152900000,22920.80,22960.00,22907.60,22909.20,5012.396
1675153800000,22909.20,22915.70,22879.00,22883.20,3152.412
1675154700000,22883.10,22907.10,22828.50,22904.70,5621.241
1675155600000,22904.70,22931.90,22898.40,22920.00,2670.633
1675156500000,22920.00,22924.40,22885.50,22891.90,1588.627
1675157400000,22892.00,22903.30,22878.10,22896.10,1744.684
1675158300000,22896.10,22900.30,22875.00,22883.80,1127.062
1675159200000,22883.80,22885.50,22841.30,22848.50,2868.738
1675160100000,22848.60,22902.00,22846.30,22890.60,1955.503
1675161000000,22890.60,22896.10,22853.00,22854.80,1746.073
1675161900000,22854.80,22871.40,22803.00,22821.10,4457.525
1675162800000,22821.00,22846.50,22807.00,22835.00,2499.870
1675163700000,22834.90,22859.70,22811.80,22823.00,1939.917
1675164600000,22823.00,22872.90,22806.50,22854.50,3023.836
1675165500000,22854.50,22872.00,22845.40,22856.90,1387.234
1675166400000,22857.00,22889.10,22843.40,22860.70,2834.388
1675167300000,22860.70,22897.70,22850.90,22895.50,2287.001
1675168200000,22895.40,22906.80,22860.20,22867.20,2279.374
1675169100000,22867.20,22917.70,22860.80,22887.70,2946.333
1675170000000,22887.70,22927.50,22885.50,22922.40,2259.955
1675170900000,22922.30,22947.00,22875.80,22887.10,4467.193
1675171800000,22887.20,23076.80,22887.10,23065.50,27232.659
1675172700000,23065.40,23116.40,23027.20,23112.40,11012.503
1675173600000,23112.50,23182.50,23060.00,23062.90,13550.253
1675174500000,23063.00,23129.50,23050.10,23081.60,6392.283
1675175400000,23081.70,23149.50,23041.80,23123.60,9160.091
1675176300000,23123.70,23183.90,23102.10,23110.10,7902.066
1675177200000,23110.00,23134.90,23069.00,23132.00,6391.650
1675178100000,23132.00,23150.00,23094.30,23128.50,3687.165
1675179000000,23128.40,23200.00,23128.40,23140.90,6885.856
1675179900000,23140.90,23153.60,23095.00,23113.90,4065.815
1675180800000,23114.00,23136.50,23093.90,23102.00,3872.584
1675181700000,23102.00,23124.50,23100.20,23116.00,2140.643
1675182600000,23116.00,23221.60,23106.30,23106.40,8702.821
1675183500000,23106.50,23119.50,23072.80,23101.30,6220.129
1675184400000,23101.30,23109.70,23076.30,23100.90,3184.058
1675185300000,23100.90,23132.50,23090.80,23125.20,2502.345
1675186200000,23125.30,23175.70,23111.20,23158.80,2887.459
1675187100000,23158.90,23167.40,23126.70,23143.30,1873.863
1675188000000,23143.30,23150.50,23118.60,23142.50,1908.997
1675188900000,23142.50,23149.00,23110.10,23127.20,1472.350
1675189800000,23127.30,23143.40,23111.00,23134.10,1332.216
1675190700000,23134.20,23179.30,23134.10,23158.40,2333.662
1675191600000,23158.40,23189.80,23118.80,23118.80,3677.079
1675192500000,23118.80,23128.00,23082.00,23125.40,3802.925
1675193400000,23125.30,23168.80,23118.30,23166.90,1894.237
