open_time,open,high,low,close,volume
1691172000000,1840.62,1840.74,1837.40,1837.40,26077.688
1691172900000,1837.40,1837.41,1829.85,1833.54,61983.440
1691173800000,1833.53,1836.05,1829.05,1831.30,45361.053
1691174700000,1831.30,1833.51,1825.61,1831.60,65563.248
1691175600000,1831.61,1832.97,1829.66,1831.90,29068.457
1691176500000,1831.90,1834.00,1830.37,1830.84,19571.181
1691177400000,1830.84,1832.07,1828.13,1829.68,19618.739
1691178300000,1829.69,1830.52,1827.11,1830.52,17419.036
1691179200000,1830.52,1833.13,1828.82,1831.28,25152.582
1691180100000,1831.27,1833.34,1831.05,1832.95,8893.985
1691181000000,1832.95,1833.34,1827.18,1827.32,26200.779
1691181900000,1827.32,1827.32,1808.77,1821.71,169148.646
1691182800000,1821.70,1832.33,1820.59,1829.97,64141.548
1691183700000,1829.96,1831.60,1827.34,1827.51,14785.777
1691184600000,1827.51,1828.75,1824.50,1826.28,16615.314
1691185500000,1826.28,1830.69,1826.28,1828.40,10620.831
1691186400000,1828.40,1830.59,1828.39,1830.07,9881.481
1691187300000,1830.07,1831.10,1830.00,1830.00,5829.988
1691188200000,1830.00,1830.19,1829.16,1829.80,3667.083
1691189100000,1829.81,1829.81,1827.76,1827.77,6135.789
1691190000000,1827.77,1828.19,1826.86,1827.04,8088.449
1691190900000,1827.04,1827.37,1825.81,1826.54,9039.028
1691191800000,1826.54,1829.46,1825.79,1829.35,9859.878
1691192700000,1829.35,1830.17,1828.83,1829.40,10327.764
1691193600000,1829.40,1831.37,1828.65,1829.71,16484.384
1691194500000,1829.72,1831.47,1828.60,1831.47,15642.576
1691195400000,1831.47,1831.98,1831.23,1831.86,7596.321
1691196300000,1831.85,1832.81,1830.88,1831.00,8982.910
1691197200000,1831.00,1831.94,1830.39,1830.59,4878.248
1691198100000,1830.59,1830.60,1827.36,1828.26,10197.470
1691199000000,1828.27,1829.94,1827.32,1828.56,8653.143
1691199900000,1828.56,1829.00,1826.87,1827.14,8385.432
1691200800000,1827.13,1829.00,1826.70,1828.62,10594.603
1691201700000,1828.63,1829.29,1827.53,1827.53,3689.867
1691202600000,1827.54,1830.98,1827.53,1830.03,6947.086
1691203500000,1830.03,1830.79,1829.86,1830.12,4636.096
1691204400000,1830.11,1830.69,1829.55,1830.55,4214.531
1691205300000,1830.56,1831.25,1830.22,1831.08,4372.663
1691206200000,1831.09,1831.20,1830.40,1831.19,5088.618
1691207100000,1831.19,1831.83,1830.61,1831.79,6344.000
1691208000000,1831.79,1831.79,1831.11,1831.59,4395.014
1691208900000,1831.60,1831.60,1829.91,1830.45,4925.237
1691209800000,1830.44,1830.45,1829.00,1829.01,4998.470
1691210700000,1829.00,1829.17,1827.86,1829.17,5945.781
1691211600000,1829.17,1829.17,1828.34,1828.80,3855.888
1691212500000,1828.79,1831.04,1828.79,1830.96,6106.395
1691213400000,1830.95,1832.29,1830.61,1832.25,7478.067
1691214300000,1832.24,1833.56,1831.95,1832.90,7925.876
1691215200000,1832.90,1833.09,1831.50,1831.53,4710.842
1691216100000,1831.54,1831.54,1830.60,1831.36,3848.934
1691217000000,1831.36,1831.86,1830.79,1831.82,3502.559
1691217900000,1831.82,1832.60,1830.92,1831.15,4005.075
1691218800000,1831.15,1831.21,1830.88,1831.21,2619.890
1691219700000,1831.21,1831.21,1829.80,1829.80,5441.128
1691220600000,1829.80,1831.10,1829.54,1830.78,4327.478
1691221500000,1830.79,1831.57,1829.88,1830.29,3464.834
1691222400000,1830.29,1830.71,1829.52,1829.52,4886.100
1691223300000,1829.53,1830.00,1829.35,1830.00,4331.096
1691224200000,1830.00,1832.58,1829.99,1832.57,4016.374
1691225100000,1832.58,1832.71,1831.75,1832.12,5682.004
1691226000000,1832.12,1832.23,1831.62,1831.80,3915.118
1691226900000,1831.80,1832.36,1831.63,1831.70,4428.105
1691227800000,1831.69,1832.00,1830.79,1830.95,3809.654
1691228700000,1830.96,1830.96,1830.01,1830.12,3718.701
1691229600000,1830.13,1831.77,1829.93,1831.77,7078.896
1691230500000,1831.77,1833.18,1831.76,1832.20,9760.155
1691231400000,1832.21,1832.27,1831.50,1831.51,4054.817
1691232300000,1831.50,1831.51,1830.13,1830.97,7225.217
1691233200000,1830.98,1834.72,1830.97,1834.40,20426.284
1691234100000,1834.39,1834.39,1833.30,1833.31,7504.377
1691235000000,1833.31,1833.31,1832.88,1832.88,4176.938
1691235900000,1832.89,1833.06,1831.92,1831.93,5398.389
1691236800000,1831.92,1832.60,1831.18,1831.54,7684.375
1691237700000,1831.54,1832.44,1830.96,1832.19,6994.636
1691238600000,1832.18,1832.18,1829.91,1829.93,10859.728
1691239500000,1829.94,1831.13,1829.52,1830.06,9956.592
1691240400000,1830.06,1830.95,1830.05,1830.78,4835.856
1691241300000,1830.78,1832.00,1830.77,1831.32,4315.788
1691242200000,1831.32,1831.60,1830.11,1830.20,4190.459
1691243100000,1830.20,1832.67,1830.20,1832.18,6246.544
1691244000000,1832.19,1835.66,1832.19,1834.79,18034.051
1691244900000,1834.80,1835.62,1833.73,1834.51,9381.674
1691245800000,1834.52,1834.95,1832.59,1833.80,10711.440
1691246700000,1833.79,1835.99,1833.79,1835.32,14431.465
1691247600000,1835.33,1836.72,1833.31,1833.78,16430.101
1691248500000,1833.77,1834.18,1831.08,1831.76,11647.840
1691249400000,1831.76,1834.17,1830.54,1832.65,12864.740
1691250300000,1832.66,1833.66,1832.65,1833.38,6156.922
1691251200000,1833.38,1833.76,1832.82,1833.67,5675.934
1691252100000,1833.66,1833.86,1831.41,1831.74,8739.850
1691253000000,1831.74,1831.75,1830.35,1830.36,9901.656
1691253900000,1830.36,1832.00,1830.35,1830.56,5003.731
1691254800000,1830.56,1831.68,1830.41,1831.67,5221.578
1691255700000,1831.67,1833.85,1831.67,1833.77,8781.564
1691256600000,1833.78,1833.88,1832.60,1832.87,3717.599
1691257500000,1832.88,1834.29,1832.87,1833.74,3634.630
